Волосовский муниципальный район,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Женщины,344.0,375.0,318.0,374.0,374.0,377.0,379.0,342.0,380.0,425.0
Мужчины,339.0,378.0,397.0,416.0,283.0,385.0,401.0,369.0,419.0,418.0
40-44,,,,,,,,,,
Всего,3574.0,3683.0,3721.0,3776.0,3802.0,3988.0,4018.0,4077.0,4191.0,4142.0
Женщины,1767.0,1809.0,1849.0,1885.0,1865.0,1892.0,1914.0,1923.0,2054.0,2014.0
Мужчины,1807.0,1874.0,1872.0,1891.0,1937.0,2096.0,2104.0,2154.0,2137.0,2128.0
45,,,,,,,,,,
Всего,565.0,684.0,743.0,713.0,779.0,659.0,752.0,789.0,827.0,798.0
Женщины,276.0,346.0,374.0,319.0,375.0,384.0,368.0,383.0,406.0,378.0
Мужчины,289.0,338.0,369.0,394.0,404.0,275.0,384.0,406.0,421.0,420.0
46,,,,,,,,,,
Всего,662.0,575.0,677.0,739.0,715.0,779.0,666.0,749.0,776.0,830.0
Женщины,330.0,280.0,350.0,367.0,317.0,372.0,392.0,361.0,382.0,412.0
Мужчины,332.0,295.0,327.0,372.0,398.0,407.0,274.0,388.0,394.0,418.0
47,,,,,,,,,,
Всего,600.0,668.0,572.0,667.0,742.0,715.0,772.0,660.0,754.0,772.0
Женщины,350.0,333.0,275.0,348.0,369.0,316.0,366.0,391.0,372.0,379.0
Мужчины,250.0,335.0,297.0,319.0,373.0,399.0,406.0,269.0,382.0,393.0
48,,,,,,,,,,
Всего,670.0,604.0,656.0,578.0,650.0,735.0,700.0,783.0,737.0,755.0
Женщины,334.0,352.0,330.0,283.0,340.0,370.0,313.0,369.0,356.0,382.0
Мужчины,336.0,252.0,326.0,295.0,310.0,365.0,387.0,414.0,381.0,373.0
49,,,,,,,,,,
Всего,707.0,675.0,606.0,647.0,575.0,644.0,737.0,695.0,698.0,730.0
Женщины,324.0,335.0,358.0,329.0,277.0,339.0,373.0,314.0,344.0,348.0
Мужчины,383.0,340.0,248.0,318.0,298.0,305.0,364.0,381.0,354.0,382.0
15-49,,,,,,,,,,
Всего,25578.0,25755.0,25446.0,25324.0,25018.0,24942.0,25100.0,24663.0,23948.0,23611.0
Женщины,12317.0,12438.0,12349.0,12216.0,12009.0,12013.0,12159.0,11892.0,11498.0,11342.0
Мужчины,13261.0,13317.0,13097.0,13108.0,13009.0,12929.0,12941.0,12771.0,12450.0,12269.0
40-49,,,,,,,,,,
Всего,,,,,,,7645.0,7753.0,7983.0,8027.0
Женщины,,,,,,,3726.0,3741.0,3914.0,3913.0
Мужчины,,,,,,,3919.0,4012.0,4069.0,4114.0
45-49,,,,,,,,,,
Всего,3204.0,3206.0,3254.0,3344.0,3461.0,3532.0,3627.0,3676.0,3792.0,3885.0
Женщины,1614.0,1646.0,1687.0,1646.0,1678.0,1781.0,1812.0,1818.0,1860.0,1899.0
Мужчины,1590.0,1560.0,1567.0,1698.0,1783.0,1751.0,1815.0,1858.0,1932.0,1986.0
50,,,,,,,,,,
Всего,760.0,710.0,664.0,611.0,645.0,578.0,641.0,728.0,664.0,681.0
Женщины,391.0,327.0,332.0,356.0,322.0,280.0,339.0,378.0,306.0,336.0
Мужчины,369.0,383.0,332.0,255.0,323.0,298.0,302.0,350.0,358.0,345.0
51,,,,,,,,,,
Всего,862.0,762.0,702.0,670.0,613.0,633.0,564.0,636.0,681.0,661.0
Женщины,466.0,392.0,320.0,335.0,360.0,314.0,269.0,336.0,332.0,308.0
Мужчины,396.0,370.0,382.0,335.0,253.0,319.0,295.0,300.0,349.0,353.0
52,,,,,,,,,,
Всего,785.0,857.0,765.0,701.0,671.0,605.0,633.0,570.0,661.0,686.0
Женщины,384.0,468.0,393.0,326.0,337.0,352.0,317.0,274.0,328.0,335.0
Мужчины,401.0,389.0,372.0,375.0,334.0,253.0,316.0,296.0,333.0,351.0
53,,,,,,,,,,
Всего,1000.0,785.0,851.0,759.0,690.0,672.0,597.0,633.0,600.0,665.0
Женщины,504.0,388.0,467.0,387.0,326.0,334.0,351.0,315.0,301.0,328.0
Мужчины,496.0,397.0,384.0,372.0,364.0,338.0,246.0,318.0,299.0,337.0
54,,,,,,,,,,
Муниципальный район,734.0,999.0,773.0,852.0,761.0,690.0,670.0,585.0,572.0,599.0
Муниципальный район,464.0,502.0,386.0,469.0,385.0,330.0,333.0,343.0,302.0,297.0
Муниципальный район,270.0,497.0,387.0,383.0,376.0,360.0,337.0,242.0,270.0,302.0
Всего,,,,,,,,,,
Женщины,4141.0,4113.0,3755.0,3593.0,3380.0,3178.0,3105.0,3152.0,3178.0,3292.0
Мужчины,2209.0,2077.0,1898.0,1873.0,1730.0,1610.0,1609.0,1646.0,1569.0,1604.0
Муниципальный район,1932.0,2036.0,1857.0,1720.0,1650.0,1568.0,1496.0,1506.0,1609.0,1688.0
55,,,,,,,,,,
Всего,861.0,726.0,971.0,766.0,855.0,746.0,688.0,671.0,628.0,573.0
