Волховский муниципальный район,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Всего,1490.0,1255.0,1091.0,999.0,871.0,825.0,936.0,840.0,627.0,631.0
Женщины,726.0,615.0,550.0,417.0,356.0,366.0,407.0,405.0,299.0,287.0
Мужчины,764.0,640.0,541.0,582.0,515.0,459.0,529.0,435.0,328.0,344.0
20-24,,,,,,,,,,
Всего,5653.0,4908.0,4629.0,4349.0,4081.0,3894.0,3856.0,3674.0,3317.0,3537.0
Женщины,2612.0,2255.0,2045.0,1876.0,1814.0,1767.0,1777.0,1729.0,1605.0,1694.0
Мужчины,3041.0,2653.0,2584.0,2473.0,2267.0,2127.0,2079.0,1945.0,1712.0,1843.0
25,,,,,,,,,,
Всего,1639.0,1467.0,1249.0,1081.0,983.0,864.0,829.0,927.0,674.0,638.0
Женщины,755.0,731.0,602.0,555.0,405.0,352.0,363.0,403.0,328.0,298.0
Мужчины,884.0,736.0,647.0,526.0,578.0,512.0,466.0,524.0,346.0,340.0
26,,,,,,,,,,
Всего,1656.0,1637.0,1443.0,1244.0,1069.0,986.0,873.0,823.0,773.0,667.0
Женщины,719.0,760.0,721.0,595.0,537.0,403.0,357.0,350.0,372.0,319.0
Мужчины,937.0,877.0,722.0,649.0,532.0,583.0,516.0,473.0,401.0,348.0
27,,,,,,,,,,
Всего,1692.0,1645.0,1628.0,1407.0,1233.0,1061.0,984.0,883.0,640.0,766.0
Женщины,792.0,721.0,751.0,698.0,597.0,538.0,406.0,362.0,280.0,368.0
Мужчины,900.0,924.0,877.0,709.0,636.0,523.0,578.0,521.0,360.0,398.0
28,,,,,,,,,,
Всего,1617.0,1681.0,1606.0,1605.0,1388.0,1213.0,1061.0,969.0,712.0,624.0
Женщины,725.0,793.0,689.0,733.0,683.0,586.0,534.0,396.0,346.0,272.0
